group,name
English,Ard
English,Bent
English,Cole
English,Drake
English,Edge
English,Fair
English,Gold
English,Hart
English,Iron
English,Kent
English,Lane
English,Mont
English,North
English,Oak
English,Park
English,Reed
English,Stone
English,Vale
English,Ward
English,West
Global,Apex
Global,Atlas
Global,Crown
Global,Delta
Global,Echo
Global,Frontier
Global,Galaxy
Global,Horizon
Global,Infinity
Global,Nexus
Global,Omega
Global,Phoenix
Global,Quantum
Global,Summit
Global,Titan
Global,Unity
Global,Vector
Global,Vista
Global,Zenith
Global,Zephyr
